id,profileId,voice,sourceType,lessonId,lessonTitle,sourceId,text,note,priority,localOutputPath,r2ObjectKey
vi3a-0011,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:boarding-school,trÆ°á»ng ná»™i trÃº,boarding school,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-e5134cb542.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-e5134cb542.mp3
vi3a-0012,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,1,Unit 1 - My New School: Vocabulary,eng6-b2-u01-vocabulary-my-new-school:vocab:international-school,trÆ°á»ng quá»‘c táº¿,international school,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-83bba2d18b.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-83bba2d18b.mp3
vi3a-0013,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:lamp,Ä‘Ã¨n,lamp,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-64cc3e8747.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-64cc3e8747.mp3
vi3a-0014,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:attic,gÃ¡c mÃ¡i,attic,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-a79238e503.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-a79238e503.mp3
vi3a-0015,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:sofa,gháº¿ sÃ´ pha,sofa,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-1ad5e4d032.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-1ad5e4d032.mp3
vi3a-0016,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:dishwasher,mÃ¡y rá»­a bÃ¡t,dishwasher,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-8de1ce0da0.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-8de1ce0da0.mp3
vi3a-0017,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:kitchen,nhÃ  báº¿p,kitchen,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-3e51448f73.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-3e51448f73.mp3
vi3a-0018,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:between,á»Ÿ giá»¯a,between,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-7bfb792a25.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-7bfb792a25.mp3
vi3a-0019,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:living-room,phÃ²ng khÃ¡ch,living room,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-a586f69d1b.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-a586f69d1b.mp3
vi3a-0020,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:bedroom,phÃ²ng ngá»§,bedroom,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-f5ecb1e0c4.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-f5ecb1e0c4.mp3
vi3a-0021,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:bathroom,phÃ²ng táº¯m,bathroom,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-19a60640f6.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-19a60640f6.mp3
vi3a-0022,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:cupboard,tá»§ chÃ©n,cupboard,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-5caccd178d.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-5caccd178d.mp3
vi3a-0023,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:fridge,tá»§ láº¡nh,fridge,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-8adcc894f5.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-8adcc894f5.mp3
vi3a-0024,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,4,Unit 2 - My House: Vocabulary,eng6-b2-u02-vocabulary-my-house:vocab:wardrobe,tá»§ quáº§n Ã¡o,wardrobe,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-bb512a5bd5.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-bb512a5bd5.mp3
vi3a-0025,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:hard-working,chÄƒm chá»‰,hard-working,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-aed3f3d332.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-aed3f3d332.mp3
vi3a-0026,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:slim,máº£nh mai,slim,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-6da9f5f3cd.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-6da9f5f3cd.mp3
vi3a-0027,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:shy,nhÃºt nhÃ¡t,shy,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-f225f25d7f.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-f225f25d7f.mp3
vi3a-0028,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:creative,sÃ¡ng táº¡o,creative,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-dbfe51c373.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-dbfe51c373.mp3
vi3a-0029,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:friendly,thÃ¢n thiá»‡n,friendly,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-75afb73291.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-75afb73291.mp3
vi3a-0030,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:clever,thÃ´ng minh,clever,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-b2da66ec0c.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-b2da66ec0c.mp3
vi3a-0031,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:straight-hair,tÃ³c tháº³ng,straight hair,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-1cb61f4e95.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-1cb61f4e95.mp3
vi3a-0032,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:curly-hair,tÃ³c xoÄƒn,curly hair,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-bb24b584a1.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-bb24b584a1.mp3
vi3a-0033,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:kind,tá»‘t bá»¥ng,kind,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-5fb7649c18.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-5fb7649c18.mp3
vi3a-0034,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:confident,tá»± tin,confident,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-8fe33ae028.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-8fe33ae028.mp3
vi3a-0035,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:funny,vui tÃ­nh,funny,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-edba4733c5.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-edba4733c5.mp3
vi3a-0036,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,7,Unit 3 - My Friends: Vocabulary,eng6-b2-u03-vocabulary-my-friends:vocab:sporty,yÃªu thá»ƒ thao,sporty,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-406320fed1.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-406320fed1.mp3
vi3a-0037,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:museum,báº£o tÃ ng,museum,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-1fea1c478e.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-1fea1c478e.mp3
vi3a-0038,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:post-office,bÆ°u Ä‘iá»‡n,post office,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-28be0359df.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-28be0359df.mp3
vi3a-0039,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:market,chá»£,market,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-2dc31c78dc.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-2dc31c78dc.mp3
vi3a-0040,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:go-straight,Ä‘i tháº³ng,go straight,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-cbcea48941.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-cbcea48941.mp3
vi3a-0041,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:railway-station,ga tÃ u,railway station,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-53ea614719.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-53ea614719.mp3
vi3a-0042,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:narrow,háº¹p,narrow,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-7daf9a87cd.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-7daf9a87cd.mp3
vi3a-0043,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:modern,hiá»‡n Ä‘áº¡i,modern,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-c441c4f13d.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-c441c4f13d.mp3
vi3a-0044,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:neighbourhood,khu phá»‘,neighbourhood,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-7ed1888174.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-7ed1888174.mp3
vi3a-0045,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:noisy,á»“n Ã o,noisy,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-72169c1287.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-72169c1287.mp3
vi3a-0046,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:square,quáº£ng trÆ°á»ng,square,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-ec234c7925.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-ec234c7925.mp3
vi3a-0047,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:turn-left,ráº½ trÃ¡i,turn left,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-f0110a3181.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-f0110a3181.mp3
vi3a-0048,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,10,Unit 4 - My Neighbourhood: Vocabulary,eng6-b2-u04-vocabulary-my-neighbourhood:vocab:peaceful,yÃªn bÃ¬nh,peaceful,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-093a95d31f.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-093a95d31f.mp3
vi3a-0049,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:beach,bÃ£i biá»ƒn,beach,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-96aec0f595.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-96aec0f595.mp3
vi3a-0050,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:tourist,du khÃ¡ch,tourist,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-130570f4b2.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-130570f4b2.mp3
vi3a-0051,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:cave,hang Ä‘á»™ng,cave,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-9b8ee77a4d.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-9b8ee77a4d.mp3
vi3a-0052,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:island,hÃ²n Ä‘áº£o,island,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-c6dd49cf1c.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-c6dd49cf1c.mp3
vi3a-0053,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:wonder,kÃ¬ quan,wonder,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-6f66c4aa08.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-6f66c4aa08.mp3
vi3a-0054,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:dangerous,nguy hiá»ƒm,dangerous,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-e31c6e7df5.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-e31c6e7df5.mp3
vi3a-0055,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:mountain,nÃºi,mountain,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-7a1e26189a.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-7a1e26189a.mp3
vi3a-0056,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:forest,rá»«ng,forest,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-e11e9b3cbc.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-e11e9b3cbc.mp3
vi3a-0057,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:desert,sa máº¡c,desert,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-bfaa458b3a.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-bfaa458b3a.mp3
vi3a-0058,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:waterfall,thÃ¡c nÆ°á»›c,waterfall,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-36be219b63.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-36be219b63.mp3
vi3a-0059,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:valley,thung lÅ©ng,valley,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-6e2a9fb013.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-6e2a9fb013.mp3
vi3a-0060,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,13,Unit 5 - Natural Wonders of Viet Nam: Vocabulary,eng6-b2-u05-vocabulary-natural-wonders-of-viet-nam:vocab:beautiful,xinh Ä‘áº¹p,beautiful,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-1a9a904898.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-1a9a904898.mp3
vi3a-0061,vi-v1-phase3a,vi-VN-Chirp3-HD-Despina,vietnamese-gloss,16,Unit 6 - Our Tet Holiday: Vocabulary,eng6-b2-u06-vocabulary-our-tet-holiday:vocab:celebrate,Äƒn má»«ng,celebrate,1,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\vi-v1-phase3a\vietnamese-gloss-1540a43cef.mp3,audio/tts/assets/vi-v1-phase3a/vietnamese-gloss-1540a43cef.mp3
